TEMP;HUM;aX;aY;aZ
20;35;-0,20;-7,57;-3,61
20;35;-0,24;-7,73;-3,53
20;35;-0,31;-7,69;-3,61
20;35;-0,20;-7,69;-3,65
20;35;-0,24;-7,69;-3,61
20;35;-0,24;-7,73;-3,61
20;35;-0,20;-7,69;-3,61
20;35;-0,24;-7,77;-3,57
20;35;-0,12;-7,30;-3,57
20;35;-0,31;-7,53;-3,92
20;35;-0,82;-6,04;-3,57
20;35;-2,47;-5,77;-3,22
20;35;-3,41;-7,85;-0,67
20;35;-2,16;-7,92;-4,51
20;35;-0,63;-6,90;-6,20
20;35;-2,86;-4,71;-5,06
20;35;-4,90;-2,47;-4,47
19;34;-2,39;-4,75;-5,33
20;35;2,43;-7,57;-5,53
20;35;4,20;-8,04;-3,02
19;34;2,39;-8,87;-1,18
19;34;-0,43;-9,10;-2,20
19;34;-2,98;-6,20;-3,84
19;34;0,12;-5,30;-6,86
19;34;1,41;-6,39;-4,59
19;34;1,53;-6,63;-5,02
19;34;1,77;-6,28;-5,06
19;34;02,08;-6,28;-5,69
19;34;1,69;-5,10;-5,65
19;34;1,65;-5,41;-5,88
19;34;1,77;-5,33;-5,84
20;34;1,57;-5,69;-5,84
20;34;1,49;-5,26;-5,84
20;34;-0,27;-6,51;-5,92
20;34;-0,20;-8,47;-6,24
20;34;0,47;-6,35;-4,67
20;34;0,63;-7,65;-3,80
20;34;0,43;-7,49;-4,12
20;34;0,31;-7,49;-4,28
20;35;0,47;-7,18;-4,43
20;35;0,47;-7,49;-4,31
20;35;0,43;-7,30;-4,24
20;35;0,43;-7,49;-4,24
