0 s | 23C, 90%, 0 UV, 3 Cd, 10% AQI, 56% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 56% LPG | static, -1.84X -0.51Y 9.88Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 57% LPG | static, -1.88X -0.47Y 9.96Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 58% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 59% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 10% AQI, 60% LPG | static, -1.84X -0.51Y 9.88Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 60% LPG | static, -1.88X -0.47Y 10.00Z m/s^2 
0 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 61% LPG | static, -1.88X -0.55Y 9.88Z m/s^2 
1 s | 23C, 90%, 0 UV, 3 Cd, 100% AQI, 62% LPG | static, -1.88X -0.51Y 9.84Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 63% LPG | static, -1.92X -0.47Y 988Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 10% AQI, 63% LPG | static, -1.88X -0.51Y 10.00Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 64% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 64% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 65% LPG | static, -1.88 -0.55Y 9.92Z m/s^2 
1 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 66% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
2 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 66% LPG | static, -1.92 -0.47Y 9.92Z m/s^2 
2 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 67% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
2 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 68% LPG | static, -1.88X -0.43Y 9.96Z m/s^2 
2 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 68% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
2 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 69% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
2 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 69% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
2 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 70% LPG | static, -1.84X -0.59Y 9.92Z m/s^2 
2 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 71% LPG | static, -1.84X -0.47Y 9.88Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 71% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 72% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 72% LPG | static, -1.88X -0.47Y 9.96Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 73% LPG | static, -1.92X -0.47Y 9.92Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 73% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 74% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 74% LPG | static, -1.84X -0.51Y 9.88Z m/s^2 
3 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 75% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 75% LPG | static, -1.92 -0.47Y 9.92Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 76% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 76% LPG | static, -1.92 -0.47Y 9.92Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 77% LPG | static, -1.88 -0.51Y 9.96Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 77% LPG | static, -1.88 -0.43Y 9.96Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 78% LPG | static, -1.88X -0.51Y 992Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 78% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
4 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 79% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 79% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 79% LPG | static, -1.84 -0.51Y 9.88Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 79% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 80% LPG | static, -1.88 -0.51Y 9.88Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 80% LPG | static, -1.84X -0.55Y 9.88Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 81% LPG | static, -1.88 -0.51Y 9.92Z m/s^2 
5 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 81% LPG | static, -1.88X -0.55Y 996Z m/s^2 
